ig_name,total_vedios,total_likes,avg_like,max_like,min_like,total_comments,avg_coments,max_comments,min_comments,total_tags,avg_tags,max_tags,_min_tags,total_views,avg_views,max_views,min_views,total_duration,max_duration,avg_duration,min_duration
cindyhhh32,51,371962.0,7293.3725490196075,32754.0,948.0,1685,33.03921568627451,291,0,11,0.21568627450980393,2,0,17063154.0,334571.64705882355,903831.0,52301.0,17915.22,4240.13,351.2788235294118,5.03
cliffchuang3,11,126906.0,11536.90909090909,89047.0,1320.0,1344,122.18181818181819,788,6,21,1.9090909090909092,5,0,3306267.0,300569.7272727273,2181012.0,41739.0,455.45,107.02,41.404545454545456,12.98
cocowine0205,391,802990.0,2053.682864450128,28881.0,171.0,6600,16.879795396419436,291,0,44,0.11253196930946291,4,0,123435171.0,315690.9744245524,2001922.0,29924.0,23740.370000000003,89.91,60.71705882352942,14.91
coffee_time_corgi,155,1114945.0,7193.193548387097,171996.0,111.0,10548,68.0516129032258,2318,0,26,0.16774193548387098,2,0,30149405.0,194512.29032258064,4168547.0,16496.0,3982.9800000000005,673.51,25.696645161290327,4.37
coindevanity,44,228151.0,5305.837209302325,86151.0,640.0,6473,147.11363636363637,3944,4,2,0.045454545454545456,1,0,18105346.0,411485.13636363635,1484932.0,210748.0,19822.749999999996,3684.3,450.5170454545454,6.11
colorfulinsideus,99,2489553.0,25403.602040816328,130923.0,934.0,4720,47.676767676767675,411,0,108,1.0909090909090908,4,0,99860932.0,1008696.2828282828,3168095.0,231257.0,16356.640000000001,4182.78,165.21858585858587,11.7
corgimango,127,400948.0,3157.0708661417325,13140.0,24.0,1449,11.409448818897637,83,0,0,0.0,0,0,9111588.0,71744.78740157481,225358.0,510.0,4131.360000000001,100.87,32.53039370078741,8.41
crown_du,78,1459682.0,18713.871794871793,100937.0,1933.0,8104,103.8974358974359,1484,14,41,0.5256410256410257,2,0,80055775.0,1026356.0897435897,6935053.0,206133.0,4518.179999999999,100.47,57.92538461538461,4.22
cyfang58,72,154155.0,2141.0416666666665,41016.0,194.0,574,7.972222222222222,115,0,34,0.4722222222222222,2,0,6189073.0,85959.34722222222,1697330.0,8168.0,2732.29,118.9,37.94847222222222,4.87
daddy.iam,71,117539.0,1655.4788732394366,32388.0,200.0,1097,15.450704225352112,490,0,6,0.08450704225352113,2,0,7724931.0,108801.84507042254,1136490.0,25292.0,5705.079999999999,175.94,80.3532394366197,27.96
