派系名稱,成員總數,核心領袖,所有成員
主要派系 1,36,千千進食中,魚乾 | Lilyflute長笛姐姐 | 黃阿瑪的後宮生活 | Ru's-Piano-Ru味春捲 | Six-Wang | 星期天 | 貓貓蟲-咖波 | 黃氏兄弟 | Onion-man-洋蔥先生與阿文 | 電瀨少女-女孩的科技日常 | 超認真少年-I'm-Serious | 柴犬Nana和阿楞的一天 | 千千進食中 | 木曜4超玩 | 漢娜在翻譯 | PanSci-泛科學 | HahaTai-哈哈台 | 泱泱-LYNN | How-Fun-如何爽 | 江老師 | 大蛇丸 | 好味小姐 | 小葵-XiaoKui | 豆漿--Soybean-Milk | 鹿人 | 阿啾繪圖同萌 | 這群人TGOP | 麻糬爸 | 白癡公主 | HOOK | 志祺七七 | 人類超有病-Baxuan | 台灣吧 | 廉傑克曼 | 閃電狼Flash-Wolves | 呱吉
主要派系 2,33,莊酷炫,小A辣 | Irene-林艾融 | 黃山料 | 咪妃Julia | Jason-Chen-陳以桐 | 陳彥婷 | Peter-Su | Patrick-派翠克 | Sandy-&-Mandy | 孫生 | 愛里 | 依梨 | 琳妲-林羿禎 | 三原慧悟-Sanyuan_JAPAN | 紫玥桃 | KEOKI-BLACK布萊克薛薛 | 林淑芬2.0 | 莊政威-Cliff-Chuang | 林進-飛醺卑鄙-fashion-baby | 魔術Channel---Davio | 辣媽Shania | 關韶文 | 喬喬兒Sylvia | 一隻阿圓 | Andy老師 | 見習網美小吳 | 莊酷炫 | 羚小鹿 | 瑀熙-Yuci | 元元 | 李恩菲x菲菲 | 蕾菈-Lyla | Aries艾瑞絲
主要派系 3,22,蔡阿嘎,豪吃來吃 | 虎麗笑嗨嗨 | 小象愛出門 | 那對夫妻 | lan&Eric | 妮妮-Nini | 蔡桃貴 | Bonjour-Louis!-我是路易 | Emma艾瑪 | 艾爾文 | 彼得爸與蘇珊媽 | 欸你這週要幹嘛 | 蔡阿嘎 | 嘎嫂二伯 | 我是老爸-我不要當爸! | P.LEAGUE | Yun-Chou | PopDaily | 丹妮婊姐 | Ines-Wang | 愛莉莎莎-Alisasa | 周小葳
主要派系 4,7,Joeman,健人蓋仇 | PEETA葛格 | 飆悍 | Joeman | 那些電影教我的事 | Sandy-珊迪 | BBpPro-Lin-Ching-Chieh-林敬傑
0-Degree,2,蘿潔塔的廚房,蘿潔塔的廚房 | A力地方媽媽
