order,person_name,ig_name,ig_id,ig_strong_id,done,posts,Followers,Following,ig_url,ig_url ig_private,ig_notSure_notFound,ig_repeat
1,蔡阿嘎,蔡阿嘎,yga0721,45717781,1,,,,https://www.instagram.com/yga0721/,,,
2,PanSci-泛科學,PanSci 泛科學,pansci,1455058965,1,,,,https://www.instagram.com/pansci/,,,
3,黃阿瑪的後宮生活,黃阿瑪的後宮生活,fumeancat,1399123752,1,4527,105萬,159,https://www.instagram.com/fumeancat/,,,
4,小象愛出門,小象愛出門,elephant_gogo,484667815,g,,,,https://www.instagram.com/elephant_gogo/,,,
5,那對夫妻,那對夫妻Nico&Kim ,1006nk,1701651749,1,,,,https://www.instagram.com/1006nk/,,,
6,大蛇丸,大蛇丸,jam_cutepig,2214964723,1,,,,https://www.instagram.com/jam_cutepig/,,,
7,Aries艾瑞絲,Aries艾瑞絲,aries_8248,453456033,g,2021,77.4萬,938,https://www.instagram.com/aries_8248/,,,
8,陳彥婷,陳彥婷 Tiffany,thetiffanychen,4053642540,1,,,,https://www.instagram.com/thetiffanychen/,,,
9,Joeman,Joeman 九妹,joemanweng,360484090,g,,,,https://www.instagram.com/joemanweng/,,,
10,一隻阿圓,一隻阿圓,nanaciaociao,313471712,1,3490,56.1萬,1038,https://www.instagram.com/nanaciaociao/,,,
11,豆漿--Soybean-Milk,豆漿-SoybeanMilk,soybeanmilk_cat,5556187464,1,,,,https://www.instagram.com/soybeanmilk_cat/,,,
12,貓貓蟲-咖波,Bugcat Capoo,bugcat_capoo,2122019014,1,,,,https://www.instagram.com/bugcat_capoo/,,,
13,人類超有病-Baxuan,霸軒BAXUAN ,baxuan_ig,1959578996,g,1061,73.9萬,2826,https://www.instagram.com/baxuan_ig/,,,
14,蕾菈-Lyla,蕾菈 Lyla,la.112814,534488377,g,,,,https://www.instagram.com/la.112814/,,,
15,好味小姐,"好味小姐與蛋捲,短褲,麻糊,米香,橘皮,本丸,圓仔,More ",ladyflavor,3417748590,1,,,,https://www.instagram.com/ladyflavor/,,,
15,好味小姐,好味小姐脆脆,ladyflavor_cui,3656815405,1,,,,https://www.instagram.com/ladyflavor_cui/,,,
15,好味小姐,好味小姐腦波弱跟Podcast ,ladyflavor_nowpo,53675526308,1,,,,https://www.instagram.com/ladyflavor_nowpo/,,,
16,小A辣,小A辣🌶️,ala780705,5703523434,g,1756,35.3萬,1481,https://www.instagram.com/ala780705/,,,
17,泱泱-LYNN,泱泱LYNN ,lynnwu0219_2,47642521277,1,,,,https://www.instagram.com/lynnwu0219_2/,,,
18,千千進食中,千千,khshu_,254432523,g,989,88.8萬,962,https://www.instagram.com/khshu_/,,,
19,Sandy-珊迪,Sandykaka 珊迪,sandykaka_,2620202,1,3268,29萬,477,https://www.instagram.com/sandykaka_/,,,
20,飆悍,陳之漢,power3067830678,3791242285,1,,,,https://www.instagram.com/power3067830678/,,,
21,Yun-Chou,Yun Chou,riceandshine.co,851583,g,2951,83.1萬,991,https://www.instagram.com/riceandshine.co/,,,
22,琳妲-林羿禎,琳妲-林羿禎💕 ,linda831212,262292089,g,5210,98.7萬,2400,https://www.instagram.com/linda831212/,,,
23,How-Fun-如何爽,HowHow,howhowhasfriends,6505088311,1,,,,https://www.instagram.com/howhowhasfriends,,,
24,魔術Channel---Davio,🎩Davio🎩,davio_magic,3025123501,g,2068,35.3萬,674,https://www.instagram.com/davio_magic/,,,
25,HOOK,HOOK ,helloiamhook,6666970922,1,,,,https://www.instagram.com/helloiamhook/,,,
26,lan&Eric,The DoDo Men - 嘟嘟人,thedodomen,22597217534,1,,,,https://www.instagram.com/thedodomen/,,,
27,嘎嫂二伯,嘎嫂二伯,2uncle987,2113732341,g,4181,77.2萬,700,https://www.instagram.com/2uncle987/,,,
28,Peter-Su,Peter Su,peter825,2059966,g,3584,66.7萬,931,https://www.instagram.com/peter825/,,,
29,Sandy-&-Mandy,Sandy&Mandy,sandymandy_official,5694299090,1,579,51.8萬,262,https://www.instagram.com/sandymandy_official/,,,
30,愛莉莎莎-Alisasa,愛莉莎莎Alisasa 🐨 ,goodalicia,328949039,g,1636,61.3萬,1266,https://www.instagram.com/goodalicia/,,,
31,彼得爸與蘇珊媽,彼得爸與蘇珊媽,peter_and_susan,22917989,g,3128,11.5萬,1251,https://www.instagram.com/peter_and_susan/,,,
32,江老師,我是江老師,teacherchiang,30136496472,g,1898,30.6萬,621,https://www.instagram.com/teacherchiang,,,
33,元元,元 元,1105ya,506333587,1,1521,alvin701,558,https://www.instagram.com/1105ya/,,,
34,林進-飛醺卑鄙-fashion-baby,林進Lingin 林東進飛醺卑鄙Fashionbaby ,lingin1209,371630480,g,8174,71.9萬,2246,https://www.instagram.com/lingin1209/,,,
35,我是老爸-我不要當爸!,我是老爸，我不要當爸,daddy.iam,3638274950,g,546,10.2萬,300,https://www.instagram.com/daddy.iam/,,,
36,小葵-XiaoKui,小葵 XiaoKui,miao11255,1673522323,g,1359,17.7萬,765,https://www.instagram.com/miao11255/,,,
37,星期天,星期天 Sunday,sundayright_dub,1795150072,g,1955,18萬,1570,https://www.instagram.com/sundayright_dub/,,,
38,蔡桃貴,蔡桃貴,tsaigray2018,8047388429,1,,,,https://www.instagram.com/tsaigray2018/,,,
39,鹿人,鹿人,twodeerman,1422088439,1,920,41萬,207,https://www.instagram.com/twodeerman/,,,
40,丹妮婊姐,丹妮婊姐星球,dannybeeech,1387337609,1,1231,25.7萬,2,https://www.instagram.com/dannybeeech/,,,
41,麻糬爸,麻糬爸與白爛貓家族,mochi_dad,588016383,1,2543,39萬,116,https://www.instagram.com/mochi_dad/,,,
42,這群人TGOP,這群人 TGOP,thisgroupofpeople,3179636262,1,2365,63.4萬,15,https://www.instagram.com/thisgroupofpeople/,,,
43,黃氏兄弟,黃氏兄弟,huangbrotherss,6231869789,1,,,,https://www.instagram.com/huangbrotherss/,,,
44,KEOKI-BLACK布萊克薛薛,布萊克薛薛Drangadrang ,k3okii,192726292,1,,,,https://www.instagram.com/k3okii/,,,
45,廉傑克曼,張廉傑 RJ / 阿傑,jaychang0127,328078093,g,1841,41.3萬,4009,https://www.instagram.com/jaychang0127/,,,
46,關韶文,關韶文 關關✨,ethan_kuan_kuan,270217123,1,1904,36.7萬,500,https://www.instagram.com/ethan_kuan_kuan/,,,
47,Andy老師,Andy老師,andy1994x,4017891221,1,,,,https://www.instagram.com/andy1994x/,,,
48,愛里,愛里,allie.liao,1962736611,g,173,61.3萬,1321,https://www.instagram.com/allie.liao/,,,
49,台灣吧,臺灣吧 Taiwan Bar,taiwan_bar,10724137476,1,,,,https://www.instagram.com/taiwan_bar/,,,
50,那些電影教我的事,那些電影教我的事,lessonsfrommovies,485234984,1,,,,https://www.instagram.com/lessonsfrommovies/,,,
51,PopDaily,PopDaily 波波黛莉的異想世界,popdaily,1612217393,1,,,,https://www.instagram.com/popdaily/,,,
52,三原慧悟-Sanyuan_JAPAN,三原 慧悟/サンエン/Mr.3,sanyuan_japan,2036845994,1,,,,https://www.instagram.com/sanyuan_japan/,,,
53,Jason-Chen-陳以桐,Jason Chen 陳以桐,jasondchen,32527641,1,,,,https://www.instagram.com/jasondchen/,,,
54,Onion-man-洋蔥先生與阿文,洋蔥先生與阿文,onionman__,1981431196,g,1172,45.7萬,921,https://www.instagram.com/onionman__/,,,
55,阿啾繪圖同萌,阿啾小劇場,achusan0817,2214961036,1,,,,https://www.instagram.com/achusan0817/,,,
