order,person_name,ig_name,ig_id,ig_strong_id,done,posts,Followers,Following,ig_url,ig_url ig_private,ig_notSure_notFound,ig_repeat,category,followers
1,蔡阿嘎,蔡阿嘎,yga0721,45717781,1,,,,https://www.instagram.com/yga0721/,,,,趣味搞笑,"5,893,557"
2,PanSci-泛科學,PanSci 泛科學,pansci,1455058965,1,,,,https://www.instagram.com/pansci/,,,,知識教育,"1,830,902"
3,黃阿瑪的後宮生活,黃阿瑪的後宮生活,fumeancat,1399123752,1,4527,105萬,159,https://www.instagram.com/fumeancat/,,,,寵物,"4,117,370"
4,小象愛出門,小象愛出門,elephant_gogo,484667815,g,,,,https://www.instagram.com/elephant_gogo/,,,,"美食料理,旅遊","1,158,083"
5,那對夫妻,那對夫妻Nico&Kim ,1006nk,1701651749,1,,,,https://www.instagram.com/1006nk/,,,,"趣味搞笑,家庭母嬰,表演藝術","4,576,655"
6,大蛇丸,大蛇丸,jam_cutepig,2214964723,1,,,,https://www.instagram.com/jam_cutepig/,,,,趣味搞笑,"2,042,767"
7,Aries艾瑞絲,Aries艾瑞絲,aries_8248,453456033,g,2021,77.4萬,938,https://www.instagram.com/aries_8248/,,,,"美食料理,表演藝術,趣味搞笑","4,774,089"
8,陳彥婷,陳彥婷 Tiffany,thetiffanychen,4053642540,1,,,,https://www.instagram.com/thetiffanychen/,,,,趣味搞笑,"1,585,007"
9,Joeman,Joeman 九妹,joemanweng,360484090,g,,,,https://www.instagram.com/joemanweng/,,,,"美食料理,3C科技,趣味搞笑","3,981,236"
10,一隻阿圓,一隻阿圓,nanaciaociao,313471712,1,3490,56.1萬,1038,https://www.instagram.com/nanaciaociao/,,,,"美妝保養,時尚潮流,旅遊","1,725,846"
11,豆漿--Soybean-Milk,豆漿-SoybeanMilk,soybeanmilk_cat,5556187464,1,,,,https://www.instagram.com/soybeanmilk_cat/,,,,寵物,"1,834,682"
12,貓貓蟲-咖波,Bugcat Capoo,bugcat_capoo,2122019014,1,,,,https://www.instagram.com/bugcat_capoo/,,,,表演藝術,"6,526,761"
13,人類超有病-Baxuan,霸軒BAXUAN ,baxuan_ig,1959578996,g,1061,73.9萬,2826,https://www.instagram.com/baxuan_ig/,,,,"表演藝術,趣味搞笑","2,784,459"
14,蕾菈-Lyla,蕾菈 Lyla,la.112814,534488377,g,,,,https://www.instagram.com/la.112814/,,,,趣味搞笑,"2,924,293"
15,好味小姐,"好味小姐與蛋捲,短褲,麻糊,米香,橘皮,本丸,圓仔,More ",ladyflavor,3417748590,1,,,,https://www.instagram.com/ladyflavor/,,,,"美食料理,寵物","1,591,823"
15,好味小姐,好味小姐脆脆,ladyflavor_cui,3656815405,1,,,,https://www.instagram.com/ladyflavor_cui/,,,,"美食料理,寵物","1,591,823"
15,好味小姐,好味小姐腦波弱跟Podcast ,ladyflavor_nowpo,53675526308,1,,,,https://www.instagram.com/ladyflavor_nowpo/,,,,"美食料理,寵物","1,591,823"
16,小A辣,小A辣🌶️,ala780705,5703523434,g,1756,35.3萬,1481,https://www.instagram.com/ala780705/,,,,趣味搞笑,"2,844,787"
17,泱泱-LYNN,泱泱LYNN ,lynnwu0219_2,47642521277,1,,,,https://www.instagram.com/lynnwu0219_2/,,,,帶貨分潤,"1,966,599"
18,千千進食中,千千,khshu_,254432523,g,989,88.8萬,962,https://www.instagram.com/khshu_/,,,,美食料理,"3,603,862"
19,Sandy-珊迪,Sandykaka 珊迪,sandykaka_,2620202,1,3268,29萬,477,https://www.instagram.com/sandykaka_/,,,,"美食料理,寵物,遊戲電玩","892,734"
20,飆悍,陳之漢,power3067830678,3791242285,1,,,,https://www.instagram.com/power3067830678/,,,,"運動健身,遊戲電玩,時事討論","3,377,635"
21,Yun-Chou,Yun Chou,riceandshine.co,851583,g,2951,83.1萬,991,https://www.instagram.com/riceandshine.co/,,,,家庭母嬰,"1,591,069"
22,琳妲-林羿禎,琳妲-林羿禎💕 ,linda831212,262292089,g,5210,98.7萬,2400,https://www.instagram.com/linda831212/,,,,"表演藝術,趣味搞笑","2,676,124"
23,How-Fun-如何爽,HowHow,howhowhasfriends,6505088311,1,,,,https://www.instagram.com/howhowhasfriends,,,,趣味搞笑,"2,759,513"
