order,person_name,ig_name,ig_id,ig_url,ig_private,ig_notSure_notFound,ig_repeat,temperature_link
3,嘎嫂二伯&蔡波能,嘎嫂二伯(@2uncle987),2uncle987,https://www.instagram.com/2uncle987/,,,,https://dailyview.tw/top100/item/19379?theme=36&range=30
19,居妮 Ginny,GINNY HSIEH (@ning3035),ning3035,https://www.instagram.com/ning3035/,,,,https://dailyview.tw/top100/item/13079?theme=36&range=30
25,薔薔 林嘉凌,薔薔林嘉凌Lin chia ling (@chialing_maze),chialing_maze,https://www.instagram.com/chialing_maze/,,,,https://dailyview.tw/top100/item/2495?theme=36&range=30
26,呱吉 邱威傑,呱吉(@froggychiu),froggychiu,https://www.instagram.com/froggychiu/,,,,https://dailyview.tw/top100/item/7651?theme=36&range=30
27,葳老闆 周品均,周品均(@mayukichou),mayukichou,https://www.instagram.com/mayukichou/,,,,https://dailyview.tw/top100/item/22461?theme=36&range=30
31,阿滴 都省瑞,阿滴(@rayduenglish),rayduenglish,https://www.instagram.com/rayduenglish/,,,,https://dailyview.tw/top100/item/1274?theme=36&range=30
36,琳妲 林羿禎,琳妲-林羿禎💕 (@linda831212),linda831212,https://www.instagram.com/linda831212/,,,,https://dailyview.tw/top100/item/22984?theme=36&range=30
37,曾博恩,曾博恩Brian Tseng (@brianptseng),brianptseng,https://www.instagram.com/brianptseng/,,,,https://dailyview.tw/top100/item/11950?theme=36&range=30
39,小吳（見習網美小吳）,見習網美小吳(@beauty___wu),beauty___wu,https://www.instagram.com/beauty___wu/,,,,https://dailyview.tw/top100/item/13454?theme=36&range=30
41,霸軒 Baxuan（人類超有病）,霸軒BAXUAN (@baxuan_ig),baxuan_ig,https://www.instagram.com/baxuan_ig/,,,,https://dailyview.tw/top100/item/3126?theme=36&range=30
44,超強系列,超 強 René Huang (@rene_superawesome),rene_superawesome,https://www.instagram.com/rene_superawesome/,,,,https://dailyview.tw/top100/item/12002?theme=36&range=30
46,王思佳,王思佳𝙎𝙤𝙥𝙝𝙞𝙖 ♌︎ (@pinksophia0818),pinksophia0818,https://www.instagram.com/pinksophia0818/,,,,https://dailyview.tw/top100/item/219?theme=36&range=30
47,阿神,KamiKami Matsu (@ookoukioo),ookoukioo,https://www.instagram.com/ookoukioo/,,,,https://dailyview.tw/top100/item/2786?theme=36&range=30
48,洋蔥（Onion Man）,洋蔥先生與阿文(@onionman__),onionman__,https://www.instagram.com/onionman__/,,,,https://dailyview.tw/top100/item/3117?theme=36&range=30
52,孫沁岳,孫沁岳(@yorkesun),yorkesun,https://www.instagram.com/yorkesun/,,,,https://dailyview.tw/top100/item/20219?theme=36&range=30
56,霸軒與小美 Baxuan & Mei,霸軒BAXUAN (@baxuan_ig),baxuan_ig,https://www.instagram.com/baxuan_ig/,,,,https://dailyview.tw/top100/item/23575?theme=36&range=30
58,尼克星 潘律星,尼克星(@nickpan129),nickpan129,https://www.instagram.com/nickpan129/,,,,https://dailyview.tw/top100/item/23416?theme=36&range=30
59,閩南狼 陳柏源,閩南狼PYC (陳柏源） (@mannam_pyc),mannam_pyc,https://www.instagram.com/mannam_pyc/,,,,https://dailyview.tw/top100/item/28881?theme=36&range=30
