派系名稱,成員總數,核心領袖,所有成員
主要派系 1,41,莊酷炫,彼得爸與蘇珊媽 | Ines-Wang | 愛莉莎莎-Alisasa | 小A辣 | Emma艾瑪 | Aries艾瑞絲 | KEOKI-BLACK布萊克薛薛 | 妮妮-Nini | Irene-林艾融 | 蕾菈-Lyla | 林進-飛醺卑鄙-fashion-baby | 羚小鹿 | 陳彥婷 | Lilyflute長笛姐姐 | Yun-Chou | 喬喬兒Sylvia | 李恩菲x菲菲 | 魔術Channel---Davio | 林淑芬2.0 | 莊酷炫 | 依梨 | 琳妲-林羿禎 | 豪吃來吃 | 關韶文 | 元元 | 那對夫妻 | 小象愛出門 | Bonjour-Louis!-我是路易 | 見習網美小吳 | 艾爾文 | Andy老師 | 虎麗笑嗨嗨 | Jason-Chen-陳以桐 | 丹妮婊姐 | Peter-Su | PopDaily | 蔡桃貴 | 江老師 | 周小葳 | Patrick-派翠克 | 黃山料
主要派系 2,37,蔡阿嘎,Six-Wang | 這群人TGOP | 麻糬爸 | 柴犬Nana和阿楞的一天 | 呱吉 | 志祺七七 | 千千進食中 | How-Fun-如何爽 | 那些電影教我的事 | Joeman | 魚乾 | 豆漿--Soybean-Milk | 台灣吧 | 人類超有病-Baxuan | 超認真少年-I'm-Serious | 鹿人 | 白癡公主 | 星期天 | 閃電狼Flash-Wolves | 好味小姐 | 泱泱-LYNN | 小葵-XiaoKui | 蔡阿嘎 | 阿啾繪圖同萌 | 漢娜在翻譯 | lan&Eric | 貓貓蟲-咖波 | 黃氏兄弟 | 電瀨少女-女孩的科技日常 | 大蛇丸 | 木曜4超玩 | HahaTai-哈哈台 | HOOK | PanSci-泛科學 | 黃阿瑪的後宮生活 | Onion-man-洋蔥先生與阿文 | Ru's-Piano-Ru味春捲
主要派系 3,16,廉傑克曼,Sandy-&-Mandy | 三原慧悟-Sanyuan_JAPAN | 紫玥桃 | BBpPro-Lin-Ching-Chieh-林敬傑 | 愛里 | 咪妃Julia | 飆悍 | 廉傑克曼 | 辣媽Shania | PEETA葛格 | 瑀熙-Yuci | 孫生 | Sandy-珊迪 | 健人蓋仇 | 一隻阿圓 | 莊政威-Cliff-Chuang
主要派系 4,4,嘎嫂二伯,我是老爸-我不要當爸! | 嘎嫂二伯 | 欸你這週要幹嘛 | P.LEAGUE
0-Degree,2,蘿潔塔的廚房,蘿潔塔的廚房 | A力地方媽媽
