Original_Rank,Person_Name,In_Degree (被追蹤數),Out_Degree (主動追蹤數),Mutual_Follow (互粉數),Network_Influence_Score,Betweenness_Centrality,ig_url,distinct_following
38,蔡桃貴,22,2,2,22.22,5.1e-05,https://www.instagram.com/tsaigray2018/,59
39,鹿人,13,21,11,13.13,0.004921,https://www.instagram.com/twodeerman/,207
40,丹妮婊姐,19,0,0,19.19,0.0,https://www.instagram.com/dannybeeech/,2
41,麻糬爸,5,5,2,5.05,0.000215,https://www.instagram.com/mochi_dad/,116
42,這群人TGOP,18,0,0,18.18,0.0,https://www.instagram.com/thisgroupofpeople/,15
43,黃氏兄弟,19,0,0,19.19,0.0,https://www.instagram.com/huangbrotherss/,2
44,KEOKI-BLACK布萊克薛薛,13,4,4,13.13,0.000516,https://www.instagram.com/k3okii/,398
45,廉傑克曼,40,42,30,40.4,0.035839,https://www.instagram.com/jaychang0127/,4006
46,關韶文,22,19,17,22.22,0.004916,https://www.instagram.com/ethan_kuan_kuan/,500
47,Andy老師,29,5,5,29.29,0.002013,https://www.instagram.com/andy1994x/,57
48,愛里,17,46,16,17.17,0.009393,https://www.instagram.com/allie.liao/,1318
49,台灣吧,5,15,3,5.05,0.000897,https://www.instagram.com/taiwan_bar/,176
50,那些電影教我的事,6,1,0,6.06,8.9e-05,https://www.instagram.com/lessonsfrommovies/,87
51,PopDaily,6,0,0,6.06,0.0,https://www.instagram.com/popdaily/,20
52,三原慧悟-Sanyuan_JAPAN,10,13,8,10.1,0.000186,https://www.instagram.com/sanyuan_japan/,596
53,Jason-Chen-陳以桐,1,0,0,1.01,0.0,https://www.instagram.com/jasondchen/,69
54,Onion-man-洋蔥先生與阿文,36,51,35,36.36,0.04908,https://www.instagram.com/onionman__/,921
55,阿啾繪圖同萌,6,5,5,6.06,8.5e-05,https://www.instagram.com/achusan0817/,639
56,閃電狼Flash-Wolves,1,0,0,1.01,0.0,https://www.instagram.com/flashwolves2013/,96
